Edición,Año,Ganador,Tiempo del ganador,Kilómetros totales,Velocidad media,N.º de etapas[1]​,N.º de corredores que participaron,N.º de corredores que finalizaron
1,1903,Maurice Garin,94:33’14’’,2.428,"25,679 km/h",6,60,21
2,1904,Henri Cornet[2]​,96:05’55’’,2.428,"25,265 km/h",6,80,15
3,1905,Louis Trousselier,35 puntos,2.994,"25,265 km/h",11,60,24
4,1906,René Pottier,31 puntos,4.545,"24,463 km/h",13,82,14
5,1907,Lucien Petit-Breton,47 puntos,4.488,"28,740 km/h",14,93,33
6,1908,Lucien Petit-Breton,36 puntos,4.488,"28,740 km/h",14,110,36
7,1909,François Faber,37 puntos,4.497,"28,658 km/h",14,150,55
8,1910,Octave Lapize,63 puntos,4.734,"29,099 km/h",15,110,41
9,1911,Gustave Garrigou,43 puntos,5.343,"27,322 km/h",15,84,28
10,1912,Odile Defraye,49 puntos,5.289,"27,763 km/h",15,131,41
11,1913,Philippe Thys,197:54’00’’,5.287,"26,715 km/h",15,140,25
12,1914,Philippe Thys,200:28’48’’,5.380,"26,835 km/h",15,145,54
-,1915-1918,Ediciones suspendidas por la Primera Guerra Mundial,,,,,,
13,1919,Firmin Lambot,231:07’15’’,5.560,"24,056 km/h",15,67,10
14,1920,Philippe Thys,228:36’13’’,5.503,"24,072 km/h",15,113,22
15,1921,Léon Scieur,221:50’26’’,5.485,"24,784  km/h",15,123,38
16,1922,Firmin Lambot,222:08’06’’,5.375,"24,196 km/h",15,120,38
17,1923,Henri Pélissier,222:15’30’’,5.386,"24,233 km/h",15,139,48
18,1924,Ottavio Bottecchia,226:28’21’’,5.425,"24,233 km/h",15,157,60
19,1925,Ottavio Bottecchia,226:28’21’’,5.440,"24,820 km/h",18,130,49
20,1926,Lucien Buysse,238:44’25’’,5.745,"24,273 km/h",17,126,41
21,1927,Nicolas Frantz,198:16’42’’,5.321,"27,224 km/h",24,142,39
22,1928,Nicolas Frantz,192:48’58’’,5.476,"27,876 km/h",22,162,41
23,1929,Maurice De Waele,186:39’15’’,5.257,"28,319 km/h",22,155,60
24,1930,André Leducq,172:12’16’’,4.818,"27,978 km/h",21,100,59
25,1931,Antonin Magne,177:10’13’’,5.091,"28,735 km/h",24,81,35
26,1932,André Leducq,154:11’49’’,4.479,"29,047 km/h",21,80,57
27,1933,Georges Speicher,147:51’37’,4.395,"29,818 km/h",23,80,40
28,1934,Antonin Magne,147:13’58’’,4.470,"30,360 km/h",24,60,39
29,1935,Sylvère Maes,147:13’58’’,4.470,"30,650 km/h",27,93,46
30,1936,Sylvère Maes,142:47’32’’,4.470,"31,108 km/h",27,90,36
31,1937,Roger Lapébie,138:58’31’’,4.415,"31,768 km/h",31,98,46
32,1938,Gino Bartali,148:29’12’’,4.415,"32,565 km/h",29,96,55
33,1939,Sylvère Maes,132:03’37’’,4.224,"31,986 km/h",28,79,49
-,1940-1946,Ediciones suspendidas por la Segunda Guerra Mundial,,,,,,
34,1947,Jean Robic,132:03’37’’,4.640,"31,412 km/h",21,100,53
35,1948,Gino Bartali,147:10’36’’,4.922,"33,442 km/h",21,120,44
36,1949,Fausto Coppi,149:40’49’’,4.808,"32,121 km/h",21,120,55
