nombre_carrera,ganador_etapa
Giro d'Italia,"[{'rider_name': 'BENI Dario', 'rider_url': 'rider/dario-beni', 'nationality': 'IT', 'stage_name': 'Stage 1'}, {'rider_name': 'CUNIOLO Giovanni', 'rider_url': 'rider/giovanni-cuniolo', 'nationality': 'IT', 'stage_name': 'Stage 2'}, {'rider_name': 'ROSSIGNOLI Giovanni', 'rider_url': 'rider/giovanni-rossignoli', 'nationality': 'IT', 'stage_name': 'Stage 3'}, {'rider_name': 'GANNA Luigi', 'rider_url': 'rider/luigi-ganna', 'nationality': 'IT', 'stage_name': 'Stage 4'}, {'rider_name': 'GANNA Luigi', 'rider_url': 'rider/luigi-ganna', 'nationality': 'IT', 'stage_name': 'Stage 5'}, {'rider_name': 'ROSSIGNOLI Giovanni', 'rider_url': 'rider/giovanni-rossignoli', 'nationality': 'IT', 'stage_name': 'Stage 6'}, {'rider_name': 'GANNA Luigi', 'rider_url': 'rider/luigi-ganna', 'nationality': 'IT', 'stage_name': 'Stage 7'}, {'rider_name': 'BENI Dario', 'rider_url': 'rider/dario-beni', 'nationality': 'IT', 'stage_name': 'Stage 8'}]"
Giro d'Italia,"[{'rider_name': 'AZZINI Ernesto', 'rider_url': 'rider/ernesto-azzini', 'nationality': 'IT', 'stage_name': 'Stage 1'}, {'rider_name': 'DORTIGNACQ Jean-Baptiste', 'rider_url': 'rider/jean-baptiste-dortignacq', 'nationality': 'FR', 'stage_name': 'Stage 2'}, {'rider_name': 'GALETTI Carlo', 'rider_url': 'rider/carlo-galetti', 'nationality': 'IT', 'stage_name': 'Stage 3'}, {'rider_name': 'ALBINI Pierino', 'rider_url': 'rider/pierino-albini', 'nationality': 'IT', 'stage_name': 'Stage 4'}, {'rider_name': 'PAVESI Eberardo', 'rider_url': 'rider/eberardo-pavesi', 'nationality': 'IT', 'stage_name': 'Stage 5'}, {'rider_name': 'GANNA Luigi', 'rider_url': 'rider/luigi-ganna', 'nationality': 'IT', 'stage_name': 'Stage 6'}, {'rider_name': 'GANNA Luigi', 'rider_url': 'rider/luigi-ganna', 'nationality': 'IT', 'stage_name': 'Stage 7'}, {'rider_name': 'GALETTI Carlo', 'rider_url': 'rider/carlo-galetti', 'nationality': 'IT', 'stage_name': 'Stage 8'}, {'rider_name': 'PAVESI Eberardo', 'rider_url': 'rider/eberardo-pavesi', 'nationality': 'IT', 'stage_name': 'Stage 9'}, {'rider_name': 'GANNA Luigi', 'rider_url': 'rider/luigi-ganna', 'nationality': 'IT', 'stage_name': 'Stage 10'}]"
Giro d'Italia,"[{'rider_name': 'GALETTI Carlo', 'rider_url': 'rider/carlo-galetti', 'nationality': 'IT', 'stage_name': 'Stage 1'}, {'rider_name': 'BORGARELLO Vincenzo', 'rider_url': 'rider/vincenzo-borgarello', 'nationality': 'IT', 'stage_name': 'Stage 2'}, {'rider_name': 'ROSSIGNOLI Giovanni', 'rider_url': 'rider/giovanni-rossignoli', 'nationality': 'IT', 'stage_name': 'Stage 3'}, {'rider_name': 'GALETTI Carlo', 'rider_url': 'rider/carlo-galetti', 'nationality': 'IT', 'stage_name': 'Stage 4'}, {'rider_name': 'PETIT-BRETON Lucien', 'rider_url': 'rider/lucien-petit-breton', 'nationality': 'FR', 'stage_name': 'Stage 5'}, {'rider_name': 'SANTHIA Giuseppe', 'rider_url': 'rider/giuseppe-santhia', 'nationality': 'IT', 'stage_name': 'Stage 6'}, {'rider_name': 'BENI Dario', 'rider_url': 'rider/dario-beni', 'nationality': 'IT', 'stage_name': 'Stage 7'}, {'rider_name': 'BORDIN Lauro', 'rider_url': 'rider/lauro-bordin', 'nationality': 'IT', 'stage_name': 'Stage 8'}, {'rider_name': 'CORLAITA Ezio', 'rider_url': 'rider/ezio-corlaita', 'nationality': 'IT', 'stage_name': 'Stage 9'}, {'rider_name': 'GALETTI Carlo', 'rider_url': 'rider/carlo-galetti', 'nationality': 'IT', 'stage_name': 'Stage 10'}, {'rider_name': 'SIVOCCI Alfredo', 'rider_url': 'rider/alfredo-sivocci', 'nationality': 'IT', 'stage_name': 'Stage 11'}, {'rider_name': 'CORLAITA Ezio', 'rider_url': 'rider/ezio-corlaita', 'nationality': 'IT', 'stage_name': 'Stage 12'}]"
Giro d'Italia,"[{'rider_name': 'MICHELETTO Giovanni', 'rider_url': 'rider/giovanni-micheletto', 'nationality': 'IT', 'stage_name': 'Stage 1'}, {'rider_name': 'BORGARELLO Vincenzo', 'rider_url': 'rider/vincenzo-borgarello', 'nationality': 'IT', 'stage_name': 'Stage 2'}, {'rider_name': 'AZZINI Ernesto', 'rider_url': 'rider/ernesto-azzini', 'nationality': 'IT', 'stage_name': 'Stage 3'}, {'rider_name': '', 'rider_url': 'rider/', 'nationality': None, 'stage_name': 'Stage 4'}, {'rider_name': 'GALETTI Carlo', 'rider_url': 'rider/carlo-galetti', 'nationality': 'IT', 'stage_name': 'Stage 5'}, {'rider_name': 'BORDIN Lauro', 'rider_url': 'rider/lauro-bordin', 'nationality': 'IT', 'stage_name': 'Stage 6'}, {'rider_name': 'BORGARELLO Vincenzo', 'rider_url': 'rider/vincenzo-borgarello', 'nationality': 'IT', 'stage_name': 'Stage 7'}, {'rider_name': 'MICHELETTO Giovanni', 'rider_url': 'rider/giovanni-micheletto', 'nationality': 'IT', 'stage_name': 'Stage 8'}, {'rider_name': 'BORGARELLO Vincenzo', 'rider_url': 'rider/vincenzo-borgarello', 'nationality': 'IT', 'stage_name': 'Stage 9'}]"
Giro d'Italia,"[{'rider_name': 'SANTHIA Giuseppe', 'rider_url': 'rider/giuseppe-santhia', 'nationality': 'IT', 'stage_name': 'Stage 1'}, {'rider_name': 'PAVESI Eberardo', 'rider_url': 'rider/eberardo-pavesi', 'nationality': 'IT', 'stage_name': 'Stage 2'}, {'rider_name': 'SANTHIA Giuseppe', 'rider_url': 'rider/giuseppe-santhia', 'nationality': 'IT', 'stage_name': 'Stage 3'}, {'rider_name': 'AZZINI Giuseppe', 'rider_url': 'rider/giuseppe-azzini', 'nationality': 'IT', 'stage_name': 'Stage 4'}, {'rider_name': 'AZZINI Giuseppe', 'rider_url': 'rider/giuseppe-azzini', 'nationality': 'IT', 'stage_name': 'Stage 5'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 6'}, {'rider_name': 'CANEPARI Clemente', 'rider_url': 'rider/clemente-canepari', 'nationality': 'IT', 'stage_name': 'Stage 7'}, {'rider_name': 'BORDIN Lauro', 'rider_url': 'rider/lauro-bordin', 'nationality': 'IT', 'stage_name': 'Stage 8 (ITT)'}, {'rider_name': 'PAVESI Eberardo', 'rider_url': 'rider/eberardo-pavesi', 'nationality': 'IT', 'stage_name': 'Stage 9'}]"
Giro d'Italia,"[{'rider_name': 'GREMO Angelo', 'rider_url': 'rider/angelo-gremo', 'nationality': 'IT', 'stage_name': 'Stage 1'}, {'rider_name': 'CALZOLARI Alfonso', 'rider_url': 'rider/alfonso-calzolari', 'nationality': 'IT', 'stage_name': 'Stage 2'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 3'}, {'rider_name': 'AZZINI Giuseppe', 'rider_url': 'rider/giuseppe-azzini', 'nationality': 'IT', 'stage_name': 'Stage 4'}, {'rider_name': 'AZZINI Giuseppe', 'rider_url': 'rider/giuseppe-azzini', 'nationality': 'IT', 'stage_name': 'Stage 5'}, {'rider_name': 'LUCOTTI Luigi Natale', 'rider_url': 'rider/luigi-lucotti', 'nationality': 'IT', 'stage_name': 'Stage 6'}, {'rider_name': 'ALBINI Pierino', 'rider_url': 'rider/pierino-albini', 'nationality': 'IT', 'stage_name': 'Stage 7'}, {'rider_name': 'ALBINI Pierino', 'rider_url': 'rider/pierino-albini', 'nationality': 'IT', 'stage_name': 'Stage 8'}]"
Giro d'Italia,"[{'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 1'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 2'}, {'rider_name': 'EGG Oscar', 'rider_url': 'rider/oscar-egg', 'nationality': 'CH', 'stage_name': 'Stage 3'}, {'rider_name': 'CORLAITA Ezio', 'rider_url': 'rider/ezio-corlaita', 'nationality': 'IT', 'stage_name': 'Stage 4'}, {'rider_name': 'BELLONI Gaetano', 'rider_url': 'rider/gaetano-belloni', 'nationality': 'IT', 'stage_name': 'Stage 5'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 6'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 7'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 8'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 9'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 10'}]"
Giro d'Italia,"[{'rider_name': 'OLIVERI Giuseppe', 'rider_url': 'rider/giuseppe-oliveri', 'nationality': 'IT', 'stage_name': 'Stage 1'}, {'rider_name': 'BELLONI Gaetano', 'rider_url': 'rider/gaetano-belloni', 'nationality': 'IT', 'stage_name': 'Stage 2'}, {'rider_name': 'BELLONI Gaetano', 'rider_url': 'rider/gaetano-belloni', 'nationality': 'IT', 'stage_name': 'Stage 3'}, {'rider_name': 'ALAVOINE Jean', 'rider_url': 'rider/jean-alavoine', 'nationality': 'FR', 'stage_name': 'Stage 4'}, {'rider_name': 'TORRICELLI Leopoldo', 'rider_url': 'rider/leopoldo-torricelli', 'nationality': 'IT', 'stage_name': 'Stage 5'}, {'rider_name': 'ALAVOINE Jean', 'rider_url': 'rider/jean-alavoine', 'nationality': 'FR', 'stage_name': 'Stage 6'}, {'rider_name': 'BELLONI Gaetano', 'rider_url': 'rider/gaetano-belloni', 'nationality': 'IT', 'stage_name': 'Stage 7'}, {'rider_name': '', 'rider_url': 'rider/', 'nationality': None, 'stage_name': 'Stage 8 (TTT)'}]"
Giro d'Italia,"[{'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 1'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 2'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 3'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 4'}, {'rider_name': 'BELLONI Gaetano', 'rider_url': 'rider/gaetano-belloni', 'nationality': 'IT', 'stage_name': 'Stage 5'}, {'rider_name': 'ANNONI Luigi', 'rider_url': 'rider/luigi-annoni', 'nationality': 'IT', 'stage_name': 'Stage 6'}, {'rider_name': 'BRUNERO Giovanni', 'rider_url': 'rider/giovanni-brunero', 'nationality': 'IT', 'stage_name': 'Stage 7'}, {'rider_name': 'ANNONI Luigi', 'rider_url': 'rider/luigi-annoni', 'nationality': 'IT', 'stage_name': 'Stage 8'}, {'rider_name': 'BELLONI Gaetano', 'rider_url': 'rider/gaetano-belloni', 'nationality': 'IT', 'stage_name': 'Stage 9'}, {'rider_name': 'BELLONI Gaetano', 'rider_url': 'rider/gaetano-belloni', 'nationality': 'IT', 'stage_name': 'Stage 10'}]"
Giro d'Italia,"[{'rider_name': 'BELLONI Gaetano', 'rider_url': 'rider/gaetano-belloni', 'nationality': 'IT', 'stage_name': 'Stage 1'}, {'rider_name': 'GIRARDENGO Costante', 'rider_url': 'rider/costante-girardengo', 'nationality': 'IT', 'stage_name': 'Stage 2'}, {'rider_name': 'BELLONI Gaetano', 'rider_url': 'rider/gaetano-belloni', 'nationality': 'IT', 'stage_name': 'Stage 3'}, {'rider_name': 'SIVOCCI Alfredo', 'rider_url': 'rider/alfredo-sivocci', 'nationality': 'IT', 'stage_name': 'Stage 4'}, {'rider_name': 'AIMO Bartolomeo', 'rider_url': 'rider/bartolomeo-aimo', 'nationality': 'IT', 'stage_name': 'Stage 5'}, {'rider_name': 'LINARI Pietro', 'rider_url': 'rider/pietro-linari', 'nationality': 'IT', 'stage_name': 'Stage 6'}, {'rider_name': 'BRUNERO Giovanni', 'rider_url': 'rider/giovanni-brunero', 'nationality': 'IT', 'stage_name': 'Stage 7'}, {'rider_name': 'ANNONI Luigi', 'rider_url': 'rider/luigi-annoni', 'nationality': 'IT', 'stage_name': 'Stage 8'}, {'rider_name': 'AIMO Bartolomeo', 'rider_url': 'rider/bartolomeo-aimo', 'nationality': 'IT', 'stage_name': 'Stage 9'}, {'rider_name': 'BRUNERO Giovanni', 'rider_url': 'rider/giovanni-brunero', 'nationality': 'IT', 'stage_name': 'Stage 10'}]"
