Pos.,Climb,#stages,#editions,First year,Length,Avg. steepness
1,Roccaraso,19,14,1952,,
2,Passo dell'Aprica,18,15,1962,,
3,Passo Pordoi,16,16,1940,,
4,Passo del Mortirolo,13,13,1994,,
5,Passo dello Stelvio,12,12,1956,,
6,Passo del Tonale,12,12,1991,,
7,Passo Fedaia,12,12,1969,,
8,Abetone,11,8,1940,,
9,Monte Terminillo,11,11,1936,,
10,Passo Rolle,11,11,1937,,
11,Sestriere,10,10,1991,,
12,Passo del Bracco,10,10,1938,,
13,Passo Campolongo,9,9,1969,,
14,Passo Sella,9,9,1940,,
15,Campitello Matese,9,7,1969,,
16,Monte Bondone,8,8,1956,,
17,Passo Gavia,8,8,1996,,
18,Blockhaus,8,7,1967,,
19,Tre Cime di Lavaredo,8,8,1967,,
20,Oropa,7,7,1963,,
21,Passo Valparola,7,7,1990,,
22,Passo Giau,7,7,2007,,
23,Passo San Pellegrino,7,7,2003,,
24,Osimo,7,4,1987,,
25,Monte Zoncolan,7,7,2003,,
26,Sella Valcalda,6,6,1987,,
27,Valico del Macerone,6,6,1956,,
28,Etna,6,6,1967,,
29,Passo di Costalunga,6,6,1937,,
30,Forcella Staulanza,6,6,1992,,
31,Muro di Ca' del Poggio,6,6,2013,,
32,Gran Sasso d'Italia,6,6,1971,,
33,Passo della Mendola,6,6,1937,,
34,Monte Grappa,6,6,1968,,
35,Passo della Consuma,6,6,1940,,
36,Montevergine di Mercogliano,5,5,2001,,
37,Rionero Sannitico,5,5,1938,,
38,Passo del Bocco,5,5,1991,,
39,Passo Gardena,5,5,1969,,
40,Col St. Pantaleon,5,5,1991,,
