Pos.,Climb,#stages,#editions,First year,Length,Avg. steepness
1,Col du Tourmalet,61,60,1910,,
2,Col du Galibier,39,37,1923,,
3,Col d'Aspin,33,33,1923,,
4,L'Alpe d'Huez,31,30,1952,,
5,Col de Peyresourde,30,30,1923,,
6,Col d'Aubisque,25,24,1923,,
7,Col de la Madeleine,24,24,1969,,
8,Côte de Châteaufort,21,21,1978,,
9,Col de Portet-d'Aspet,20,20,1923,,
10,Col de la Colombière,20,20,1978,,
11,Mont Ventoux,18,18,1951,,
12,Col de Menté,16,16,1979,,
13,Col d'Izoard,16,16,1923,,
14,Col des Aravis,15,15,1923,,
15,Col de Vars,15,15,1947,,
16,Col de Marie-Blanque,15,14,1978,,
17,Puy de Dôme,15,14,1952,,
18,Côte de Saint-Rémy-Lès-Chevreuse,15,15,1986,,
19,Col de la Croix de Fer,15,14,1947,,
20,Col du Télégraphe,15,15,1947,,
21,Ballon d'Alsace,14,14,1905,,
22,Cormet de Roselend,14,14,1979,,
23,Avoriaz,14,9,1975,,
24,Col des Saisies,14,14,1979,,
25,Col de Joux Plane,13,13,1978,,
26,Col des Ares,13,13,1923,,
27,Col du Glandon,12,11,1981,,
28,Côte du Pavé des Gardes,12,12,1978,,
29,Pla d'Adet,11,11,1974,,
30,Col de Val Louron-Azet,10,10,1997,,
31,Côte de 17 Tournants,10,10,1978,,
32,Sestriere,10,7,1952,,
33,Col du Soulor,10,9,1979,,
34,Col de Porte,9,9,1907,,
35,Côte de Châtillon,9,9,1978,,
36,Mûr-de-Bretagne,9,9,1993,,
37,Luz-Ardiden,9,9,1985,,
38,Col de la Croix de Chaubouret,9,9,1978,,
39,Col du Portillon,9,9,1979,,
40,Col Bayard,8,8,1905,,
