Edición,Año,Ganador,Tiempo del ganador,Kilómetros totales,Velocidad media (km/h),N.º de etapas[1]​,N.º de corredores que participaron,N.º de corredores que finalizaron
1.ª,1909,Luigi Ganna,25 pts.,2.448,"27,258",8,127,49
2.ª,1910,Carlo Galetti,28 pts.,"2.987,5","26,114",10,101,22
3.ª,1911,Carlo Galetti,50 pts.,3.452,"26,082",12,86,24
4.ª,1912,Atala,31 pts.,"2.439,5","27,106",8,54,26
5.ª,1913,Carlo Oriani,37 pts.,2.932,"26,379",9,99,35
6.ª,1914,Alfonso Calzolari,135 h 17 min 56 s,3.171,"23,437",8,81,8
-,1915-1918,Ediciones suspendidas por la Primera Guerra Mundial,,,,,,
7.ª,1919,Costante Girardengo,112 h 51 min 29 s,2.984,"26,440",10,63,15
8.ª,1920,Gaetano Belloni,102 h 47 min 33 s,"2.632,8","25,613",8,49,10
9.ª,1921,Giovanni Brunero,120 h 24 min 58 s,"3.081,7","25,592",10,69,27
10.ª,1922,Giovanni Brunero,119 h 43 min 00 s,"3.095,5","25,867",10,75,15
11.ª,1923,Costante Girardengo,122 h 58 min 17 s,"3.188,7","25,930",10,95,39
12.ª,1924,Giuseppe Enrici,143 h 43 min 37 s,"3.622,0","25,201",12,90,30
13.ª,1925,Alfredo Binda,137 h 31 min 13 s,"3.520,5","25,600",12,126,39
14.ª,1926,Giovanni Brunero,137 h 55 min 59 s,"3.429,7","24,865",12,205,40
15.ª,1927,Alfredo Binda,144 h 15 min 35 s,"3.728,8","25,812",15,266,80
16.ª,1928,Alfredo Binda,114 h 15 min 19 s,"3.044,6","26,748",12,298,128
17.ª,1929,Alfredo Binda,107 h 18 min 24 s,"2.918,3","27,183",14,166,99
18.ª,1930,Luigi Marchisio,115 h 11 min 55 s,"3.097,5","26,877",15,115,67
19.ª,1931,Francesco Camusso,102 h 40 min 46 s,"3.012,8","29,332",12,108,65
20.ª,1932,Antonio Pesenti,105 h 42 min 41 s,"3.235,3","30,595",13,109,66
