Edición,Año,Fecha(dd/mm),Ganador,Tiempo del ganador,Kilómetros totales,Velocidad media,N.º de Etapas[1]​,N.º de equipos participantes,N.º de corredores que participaron,N.º de corredores que finalizaron
I (1.ª),1935,29/04 - 15/05,Gustaaf Deloor,120:01’02’’,3425,"28,537 km/h.",14,-,50,29
II (2.ª),1936,05/05 - 31/05,Gustaaf Deloor,150:07’54’’,3407,"28,994 km/h.",21,-,50,26
1937-1940,Ediciones suspendidas por la Guerra civil española,,,,,,,,,
III (3.ª),1941,12/06 - 06/07,Julián Berrendero,168:45’26’’,3406,"26,108 km/h.",22,-,32,16
IV (4.ª),1942,30/06 - 19/07,Julián Berrendero,134:05’09’’,3688,"27,505 km/h.",20,-,40,18
1943-1944,Ediciones suspendidas por la Segunda Guerra Mundial,,,,,,,,,
V (5.ª),1945,10/05 - 31/05,Delio Rodríguez,135:43’55’’,3803,"28,018 km/h.",19,-,51,26
VI (6.ª),1946,07/05 - 30/05,Dalmacio Langarica,137:10’38’’,3797,"27,679 km/h.",23,-,48,28
VII (7.ª),1947,12/05 - 05/06,Edouard van Dyck,132:27’00’’,3893,"27,679 km/h.",25,-,47,27
VIII (8.ª),1948,13/06 - 04/07,Bernardo Ruiz,155:06’30’’,3990,"25,724 km/h.",21,11,54,26
1949,Edición suspendida,,,,,,,,,
IX (9.ª),1950,17/08 - 10/09,Emilio Rodríguez,134:49’19’’,3932,"29,118 km/h.",25,-,42,26
1951-1954,Ediciones suspendidas,,,,,,,,,
X (10.ª),1955,23/04 - 08/05,Jean Dotto,84:04’22’’,2740,"33,799 km/h.",15,18,106,63
XI (11.ª),1956,26/04 - 13/05,Angelo Conterno,105:37’52’’,3531,"33,426 km/h.",19,9,90,40
XII (12.ª),1957,26/04 - 12/05,Jesús Loroño,84:44’06’’,2967,"35,008 km/h.",16,9,90,54
XIII (13.ª),1958,30/04 - 15/05,Jean Stablinski,94:54’21’’,3250,"32,248 km/h.",19,10,100,45
XIV (14.ª),1959,24/04 - 10/05,Antonio Suárez,84:36’20’’,3048,"36,012 km/h.",18,9,90,41
XV (15.ª),1960,29/04 - 15/05,Franz De Mulder,103:05’57’’,3566,"34,575 km/h.",18,8,80,24
XVI (16.ª),1961,29/04 - 11/05,Angelino Soler,77:36’17’’,2823,"36,377 km/h.",17,10,90,41
XVII (17.ª),1962,27/04 - 13/05,Rudi Altig,78:35’27’’,2806,"35,684 km/h.",17,9,90,48
XVIII (18.ª),1963,01/05 - 15/05,Jacques Anquetil,64:46’20’’,2442,"37,694 km/h.",17,9,90,65
XIX (19.ª),1964,30/04 - 16/05,Raymond Poulidor,78:23’35’’,2921,"36,633 km/h.",19,8,80,49
XX (20.ª),1965,29/04 - 16/05,Rolf Wolfshohl,92:36’03’’,3409,"36,954 km/h.",20,10,100,51
XXI (21.ª),1966,28/04 - 15/05,Patxi Gabica,78:53’55’’,2951,"37,605 km/h.",22,9,90,55
XXII (22.ª),1967,27/04 - 14/05,Jan Janssen,76:38’04’’,2951,"37,605 km/h.",21,10,110,73
XXIII (23.ª),1968,25/04 - 12/05,Felice Gimondi,78:29’00’’,2990,"37,958 km/h.",20,9,90,51
XXIV (24.ª),1969,23/04 - 11/05,Roger Pingeon,73:18’45’’,2921,"39,843 km/h.",22,10,100,68
XXV (25.ª),1970,23/04 - 12/05,Luis Ocaña,89:57’12’’,3568,"39,576 km/h.",22,10,109,59
XXVI (26.ª),1971,29/04 - 16/05,Ferdinand Bracke,73:50’25’’,2983,"37,829 km/h.",20,11,110,68
XXVII (27.ª),1972,27/04 - 14/05,José Manuel Fuente,82:34’14’’,2079,"37,284 km/h.",21,10,110,57
XXVIII (28.ª),1973,26/04 - 13/05,Eddy Merckx,84:40’50’’,3061,"36,098 km/h.",22,8,80,62
XXIX (29.ª),1974,23/04 - 12/05,José Manuel Fuente,86:48’18’’,2987,"34,420 km/h.",22,9,88,55
XXX (30.ª),1975,22/04 - 11/05,Agustín Tamames,88:00’56’’,3104,"34,945 km/h.",22,9,90,54
XXXI (31.ª),1976,27/04 - 16/05,José Pesarrodona,93:19’10’’,3340,"35,814 km/h.",21,10,100,49
