,Edición,Año,Ganador,Tiempo del ganador,Kilómetros totales,Velocidad media,N.º de corredores que participaron,N.º de corredores que finalizaron,Puntos del ganador
0,1,1903,Maurice Garin,3 days 22:33:14,2428.0,25.679,60,21,0
1,2,1904,Henri Cornet​,4 days 00:05:55,2428.0,25.265,80,15,0
2,3,1905,Louis Trousselier,,2994.0,25.265,60,24,35
3,4,1906,René Pottier,,4545.0,24.463,82,14,31
4,5,1907,Lucien Petit-Breton,,4488.0,28.74,93,33,47
5,6,1908,Lucien Petit-Breton,,4488.0,28.74,110,36,36
6,7,1909,François Faber,,4497.0,28.658,150,55,37
7,8,1910,Octave Lapize,,4734.0,29.099,110,41,63
8,9,1911,Gustave Garrigou,,5343.0,27.322,84,28,43
9,10,1912,Odile Defraye,,5289.0,27.763,131,41,49
10,11,1913,Philippe Thys,8 days 05:54:00,5287.0,26.715,140,25,0
11,12,1914,Philippe Thys,8 days 08:28:48,5380.0,26.835,145,54,0
12,13,1919,Firmin Lambot,9 days 15:07:15,5560.0,24.056,67,10,0
13,14,1920,Philippe Thys,9 days 12:36:13,5503.0,24.072,113,22,0
14,15,1921,Léon Scieur,9 days 05:50:26,5485.0,24.784,123,38,0
15,16,1922,Firmin Lambot,9 days 06:08:06,5375.0,24.196,120,38,0
16,17,1923,Henri Pélissier,9 days 06:15:30,5386.0,24.233,139,48,0
17,18,1924,Ottavio Bottecchia,9 days 10:28:21,5425.0,24.233,157,60,0
18,19,1925,Ottavio Bottecchia,9 days 10:28:21,5440.0,24.82,130,49,0
19,20,1926,Lucien Buysse,9 days 22:44:25,5745.0,24.273,126,41,0
20,21,1927,Nicolas Frantz,8 days 06:16:42,5321.0,27.224,142,39,0
21,22,1928,Nicolas Frantz,8 days 00:48:58,5476.0,27.876,162,41,0
22,23,1929,Maurice De Waele,7 days 18:39:15,5257.0,28.319,155,60,0
23,24,1930,André Leducq,7 days 04:12:16,4818.0,27.978,100,59,0
24,25,1931,Antonin Magne,7 days 09:10:13,5091.0,28.735,81,35,0
25,26,1932,André Leducq,6 days 10:11:49,4479.0,29.047,80,57,0
26,27,1933,Georges Speicher,,4395.0,29.818,80,40,0
27,28,1934,Antonin Magne,6 days 03:13:58,4470.0,30.36,60,39,0
28,29,1935,Sylvère Maes,6 days 03:13:58,4470.0,30.65,93,46,0
29,30,1936,Sylvère Maes,5 days 22:47:32,4470.0,31.108,90,36,0
30,31,1937,Roger Lapébie,5 days 18:58:31,4415.0,31.768,98,46,0
31,32,1938,Gino Bartali,6 days 04:29:12,4415.0,32.565,96,55,0
32,33,1939,Sylvère Maes,5 days 12:03:37,4224.0,31.986,79,49,0
33,34,1947,Jean Robic,5 days 12:03:37,4640.0,31.412,100,53,0
34,35,1948,Gino Bartali,6 days 03:10:36,4922.0,33.442,120,44,0
35,36,1949,Fausto Coppi,6 days 05:40:49,4808.0,32.121,120,55,0
36,37,1950,Ferdi Kübler,6 days 01:36:56,4753.0,32.778,116,51,0
37,38,1951,Hugo Koblet,5 days 22:20:14,4690.0,32.949,123,66,0
38,39,1952,Fausto Coppi,6 days 07:57:20,4898.0,32.233,123,78,0
39,40,1953,Louison Bobet,5 days 09:23:25,4476.0,34.593,119,76,0
40,41,1954,Louison Bobet,5 days 20:06:05,4656.0,33.229,110,69,0
41,42,1955,Louison Bobet,5 days 10:29:26,4495.0,34.446,130,69,0
42,43,1956,Roger Walkowiak,5 days 04:01:16,4498.0,36.268,120,88,0
43,44,1957,Jacques Anquetil,5 days 15:44:42,4665.0,34.25,120,56,0
44,45,1958,Charly Gaul,5 days 15:44:42,4319.0,36.919,120,78,0
45,46,1959,Federico Martín Bahamontes,5 days 03:46:45,4391.0,36.919,120,65,0
46,47,1960,Gastone Nencini,4 days 16:08:42,4173.0,37.21,128,61,0
47,48,1961,Jacques Anquetil,5 days 02:01:33,4397.0,36.033,132,72,0
48,49,1962,Jacques Anquetil,4 days 18:31:54,4274.0,37.317,150,94,0
49,50,1963,Jacques Anquetil,4 days 17:30:05,4137.0,37.042,130,76,0
50,51,1964,Jacques Anquetil,5 days 07:04:44,4504.0,35.419,132,81,0
51,52,1965,Felice Gimondi,4 days 20:42:06,4177.0,35.886,130,96,0
52,53,1966,Lucien Aimar,4 days 21:34:21,4322.0,36.76,130,82,0
53,54,1967,Roger Pingeon,5 days 16:53:50,4758.0,34.756,130,88,0
54,55,1968,Jan Janssen,5 days 13:49:42,4758.0,33.556,110,63,0
55,56,1969,Eddy Merckx,4 days 20:16:02,4117.0,35.409,130,86,0
